DimGray,0.4117647059,0.4117647059,0.4117647059
DodgerBlue,0.1176470588,0.5647058824,1
FireBrick,0.6980392157,0.1333333333,0.1333333333
FloralWhite,1,0.9803921569,0.9411764706
ForestGreen,0.1333333333,0.5450980392,0.1333333333
Fuchsia,1,0,1
Gainsboro,0.862745098,0.862745098,0.862745098
GhostWhite,0.9725490196,0.9725490196,1
Goldenrod,0.8549019608,0.6470588235,0.1254901961
Goldenrod,1,0.8431372549,0
Gray,0.5019607843,0.5019607843,0.5019607843
Green,0,0.5019607843,0
GreenYellow,0.6784313725,1,0.1843137255
HoneyDew,0.9411764706,1,0.9411764706
HotPink,1,0.4117647059,0.7058823529
Indian Red,0.8039215686,0.3607843137,0.3607843137
Indigo,0.2941176471,0,0.5098039216
Ivory,1,1,0.9411764706
Khaki,0.9411764706,0.9019607843,0.5490196078
Lavender,0.9019607843,0.9019607843,0.9803921569
LavenderBlush,1,0.9411764706,0.9607843137
LawnGreen,0.4862745098,0.9882352941,0
LemonChiffon,1,0.9803921569,0.8039215686
LightBlue,0.6784313725,0.8470588235,0.9019607843
LightCoral,0.9411764706,0.5019607843,0.5019607843
LightCyan,0.8784313725,1,1
LightGoldenrodYellow,0.9803921569,0.9803921569,0.8235294118
LightGray,0.8274509804,0.8274509804,0.8274509804
LightGreen,0.5647058824,0.9333333333,0.5647058824
LightPink,1,0.7137254902,0.7568627451
LightSalmon,1,0.6274509804,0.4784313725
LightSeaGreen,0.1254901961,0.6980392157,0.6666666667
LightSkyBlue,0.5294117647,0.8078431373,0.9803921569
LightSlateGray,0.4666666667,0.5333333333,0.6
LightSteelBlue,0.6901960784,0.768627451,0.8705882353
LightYellow,1,1,0.8784313725
Lime,0,1,0
LimeGreen,0.1960784314,0.8039215686,0.1960784314
Linen,0.9803921569,0.9411764706,0.9019607843
Magenta,1,0,1
Maroon,0.5019607843,0,0
MediumAquamarine,0.4,0.8039215686,0.6666666667
MediumBlue,0,0,0.8039215686
MediumOrchid,0.7294117647,0.3333333333,0.8274509804
MediumPurple,0.5764705882,0.4392156863,0.8588235294
MediumSeaGreen,0.2352941176,0.7019607843,0.4431372549
MediumSlateBlue,0.4823529412,0.4078431373,0.9333333333
MediumSpringGreen,0,0.9803921569,0.6039215686
MediumTurquoise,0.2823529412,0.8196078431,0.8
MediumVioletRed,0.7803921569,0.08235294118,0.5215686275
MidnightBlue,0.09803921569,0.09803921569,0.4392156863
MintCream,0.9607843137,1,0.9803921569
MistyRose,1,0.8941176471,0.8823529412
Moccasin,1,0.8941176471,0.7098039216
NavajoWhite,1,0.8705882353,0.6784313725
Navy,0,0,0.5019607843
OldLace,0.9921568627,0.9607843137,0.9019607843
Olive,0.5019607843,0.5019607843,0
OliveDrab,0.4196078431,0.5568627451,0.137254902
Orange,1,0.6470588235,0
OrangeRed,1,0.2705882353,0
Orchid,0.8549019608,0.4392156863,0.8392156863
PaleGoldenrod,0.9333333333,0.9098039216,0.6666666667
PaleGreen,0.5960784314,0.9843137255,0.5960784314
PaleTurquoise,0.6862745098,0.9333333333,0.9333333333
PaleVioletRed,0.8588235294,0.4392156863,0.5764705882
PapayaWhip,1,0.937254902,0.8352941176
PeachPuff,1,0.8549019608,0.7254901961
Peru,0.8039215686,0.5215686275,0.2470588235
Pink,1,0.7529411765,0.7960784314
Plum,0.8666666667,0.6274509804,0.8666666667
PowderBlue,0.6901960784,0.8784313725,0.9019607843
Purple,0.5019607843,0,0.5019607843
RebeccaPurple,0.4,0.2,0.6
Red,1,0,0
RosyBrown,0.737254902,0.5607843137,0.5607843137
RoyalBlue,0.2549019608,0.4117647059,0.8823529412
SaddleBrown,0.5450980392,0.2705882353,0.07450980392
Salmon,0.9803921569,0.5019607843,0.4470588235
SandyBrown,0.9568627451,0.6431372549,0.3764705882
SeaGreen,0.1803921569,0.5450980392,0.3411764706
SeaShell,1,0.9607843137,0.9333333333
Sienna,0.6274509804,0.3215686275,0.1764705882
Silver,0.7529411765,0.7529411765,0.7529411765
SkyBlue,0.5294117647,0.8078431373,0.9215686275
SlateBlue,0.4156862745,0.3529411765,0.8039215686
SlateGray,0.4392156863,0.5019607843,0.5647058824
Snow,1,0.9803921569,0.9803921569
SpringGreen,0,1,0.4980392157
SteelBlue,0.2745098039,0.5098039216,0.7058823529
Tan,0.8235294118,0.7058823529,0.5490196078
Teal,0,0.5019607843,0.5019607843
Thistle,0.8470588235,0.7490196078,0.8470588235
Tomato,1,0.3882352941,0.2784313725
Turquoise,0.2509803922,0.8784313725,0.8156862745
Violet,0.9333333333,0.5098039216,0.9333333333
Wheat,0.9607843137,0.8705882353,0.7019607843
White,1,1,1
WhiteSmoke,0.9607843137,0.9607843137,0.9607843137
Yellow,1,1,0
YellowGreen,0.6039215686,0.8039215686,0.1960784314
